No.,Company Name,Company Website
349,KARYON INDUSTRIES BERHAD [S],http://www.karyongroup.com.my
350,KAWAN FOOD BERHAD [S],http://www.kawanfood.com/
351,KECK SENG (MALAYSIA) BERHAD,http://www.my.keckseng.com
352,KEIN HING INTERNATIONAL BERHAD [S],http://www.keinhing.com
353,KELINGTON GROUP BERHAD [S],http://www.kelington-group.com/
354,KEN HOLDINGS BERHAD [S],http://www.kenholdings.com.my
355,KENANGA INVESTMENT BANK BERHAD,http://www.kenanga.com.my
356,KERJAYA PROSPEK GROUP BERHAD [S],http://www.fututech.com.my
357,GSB GROUP BERHAD [S],http://www.gsbsummit.com
358,KESM INDUSTRIES BERHAD [S],http://www.kesmi.com
359,KEY ASIC BERHAD [S],http://www.keyasic.com
360,KHEE SAN BERHAD [S],http://www.kheesan.com.my/
361,KHIND HOLDINGS BERHAD [S],http://www.khind.com
362,KIA LIM BERHAD [S],http://www.kialim.com.my
363,KIM HIN INDUSTRY BERHAD [S],http://www.kimhin.com.my
364,KIM LOONG RESOURCES BERHAD [S],http://www.kimloong.com.my/
365,KIMLUN CORPORATION BERHAD [S],http://www.kimlun.com
366,KINSTEEL BHD,http://www.kinsteel.com.my
367,KIP REAL ESTATE INVESTMENT TRUST,http://www.kipreit.com.my/
368,KKB ENGINEERING BERHAD [S],http://www.kkbeb.com.my/
369,KLCC REAL ESTATE INVESTMENT TRUST [S],http://www.klcc.com.my
370,KLUANG RUBBER COMPANY (MALAYA) BERHAD,http://www.kluangrubber.com
371,KNM GROUP BERHAD,http://www.knm-group.com
372,KNUSFORD BERHAD [S],http://www.knusford.com.my
373,KOBAY TECHNOLOGY BERHAD [S],http://www.kobaytech.com
374,KOMARKCORP BERHAD [S],http://www.komark.com.my
375,KONSORTIUM TRANSNASIONAL BERHAD [S],http://www.ktb.com.my
376,KOSSAN RUBBER INDUSTRIES BERHAD [S],http://www.kossan.com/
377,KOTRA INDUSTRIES BERHAD [S],http://www.kotrapharma.com
378,KPJ HEALTHCARE BERHAD [S],http://www.kpjhealth.com.my
379,KPS CONSORTIUM BERHAD [S],http://www.kpscb.com.my
380,KRETAM HOLDINGS BERHAD [S],http://www.kretam.com
381,KSL HOLDINGS BERHAD [S],http://www.ksl.net.my/
382,KUALA LUMPUR KEPONG BERHAD [S],http://www.klk.com.my
383,KUB MALAYSIA BERHAD [S],http://www.kub.com.my/
384,KUCHAI DEVELOPMENT BERHAD,http://www.kuchaidevelopment.com
